seed,Du,Dv,F,k,grid,steps,sample_every,tau_r,tau_ci_low,tau_ci_high,L_nn,L_ci_low,L_ci_high,L_spec,L_agreement_abs,Pe_r,Pe_ci_low,Pe_ci_high,entropy_mean,entropy_std,spot_mean,spot_volatility,spectral_sharpness,n_splits,n_birth_events
20260387,0.08,0.08,0.026,0.051,96,3600,40,1799.5,1799.5,1799.5,40.54192338214408,31.939657533480364,55.35912871359115,62.66666666666667,22.124743284522594,11.417390605193392,7.086285936065636,22.412343152936053,0.48281291682210287,0.10543446236511905,1.7692307692307692,1.1763260224755376,22.94171871058257,0,2
20260388,0.08,0.08,0.026,0.051,96,3600,40,240.0,40.0,1120.0,59.202835570536045,31.956601534614048,64.76133506101827,188.0,128.79716442946395,182.62625028037203,53.18877071535168,213.00732986170902,0.4740692014917997,0.1124152164255102,1.6813186813186813,1.1858738227494616,23.977567629656374,0,4
20260507,0.2,0.08,0.026,0.051,96,3600,40,3599.0,3599.0,3599.0,31.968677501898412,31.949901934145522,31.990008685981937,188.0,156.0313224981016,1.4198338795742416,1.4181730303605322,1.421729307523695,0.19301623514552094,0.23077245136338556,1.2087912087912087,1.7539094466669138,7.872033992810479e-63,0,0
20260508,0.2,0.08,0.026,0.051,96,3600,40,3599.0,3599.0,3599.0,31.95920896709673,31.917504944638708,31.990008685981934,188.0,156.04079103290326,1.4189933143219338,1.4152920293563596,1.4217293075236945,0.1936290138727913,0.23038465287936838,1.2087912087912087,1.7539094466669138,3.2961599953365373e-63,0,0
20260707,0.4,0.08,0.026,0.051,96,3600,40,40.0,20.0,90.0,26.95517003562894,26.926882673818618,26.981516577038107,11.058823529411766,15.896346506217172,45.41132447810426,45.31606315809958,45.500139799811386,0.7291700472224765,0.11960706349065373,5.043956043956044,0.7612999772216964,29.525253688404767,0,7
20260708,0.4,0.08,0.026,0.051,96,3600,40,40.0,30.0,70.24999999999977,25.777361480417895,23.952286386912302,26.663224518060304,11.058823529411766,14.718537951006128,41.52952280575826,35.87655341440248,44.43297135628076,0.729529620953909,0.11945880215805811,5.318681318681318,0.7571517721649207,29.253733275894827,0,9
20261107,0.8,0.08,0.026,0.051,96,3600,40,449.875,10.0,449.875,31.923306302010843,17.29296605907197,31.954352614151805,11.058823529411766,20.864482772599075,2.831612923842761,0.4631667766602652,2.837094898101145,0.7648623722095677,0.1665111338870457,19.47252747252747,1.0622737383376089,33.859978430384025,2,7
20261108,0.8,0.08,0.026,0.051,96,3600,40,10.0,10.0,10.0,31.94332390839669,12.904705423635539,31.95789595736546,11.058823529411766,20.884500378984924,127.5469932227133,20.79108172657966,127.63911659686553,0.7654543709112164,0.1663641599038399,19.494505494505493,1.0611587846257022,33.860728451184016,0,7
20261507,1.2,0.08,0.026,0.051,96,3600,40,6.666666666666629,6.666666666666629,6.6666666666667425,31.977167313686834,31.96897797985578,31.987076023121908,11.058823529411766,20.918343784275066,127.81740367596822,127.74875723873355,127.89832148760401,0.7570030056850152,0.2025405593916531,10.934065934065934,0.984726674806339,31.854219185782537,0,7
20261508,1.2,0.08,0.026,0.051,96,3600,40,6.666666666666629,6.666666666666629,6.6666666666667425,31.965261754468635,31.961532539262805,31.973347559297807,11.058823529411766,20.906438225056867,127.72224487917634,127.68353716166153,127.80308068036517,0.7578793075747897,0.2031963606687794,10.76923076923077,0.9595917499283807,31.850924896802823,1,7
20262307,2.0,0.08,0.026,0.051,96,3600,40,359.90000000000003,359.90000000000003,359.90000000000003,31.98072211243321,31.975133900750176,31.986173503234102,17.09090909090909,14.88981302152412,1.4209038438909063,1.420399816319932,1.4214784918567103,0.6855609667842482,0.23294071193776805,9.0,0.0,36.63358647342106,0,0
20262308,2.0,0.08,0.026,0.051,96,3600,40,359.90000000000003,359.90000000000003,359.90000000000003,31.96380187088232,31.959590856035344,31.973661295886302,17.09090909090909,14.872892779973231,1.4194007085871354,1.4190267403244123,1.420278585315735,0.6837560545433811,0.2325695807100291,9.0,0.0,36.644158056031344,0,0
20263307,3.0,0.08,0.026,0.051,96,3600,40,239.93333333333334,239.93333333333334,239.93333333333334,31.960251046025107,31.952879590006965,31.974624875958128,17.09090909090909,14.869341955116017,1.4190853666642802,1.4183917644655533,1.420163267128546,0.5850299000885204,0.23431633309506397,9.0,0.0,34.76666816069347,0,0
20263308,3.0,0.08,0.026,0.051,96,3600,40,239.93333333333334,239.93333333333334,239.93333333333334,31.959356020750036,31.943452805305547,31.969355265681713,17.09090909090909,14.868446929840946,1.419005886719994,1.4175940221238996,1.419893965188122,0.5854127589710362,0.2341776606981621,9.0,0.0,34.770480072703705,0,0
