nu,kobs_frac,eps_rel,tau_req,tau,rmse_fwd,rmse_bwd_best,spread,accepted_count,threshold,status
0.002,16,0.001,0.25,0.24976044603216452,2.1723833373816335e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,0.5,0.5002244426165322,2.558768161515289e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,0.75,0.7499848886486967,2.8691622940281807e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,1.0,0.9997453346808615,2.764348057116543e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,1.25,1.2502093312652292,2.403866345390948e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,1.5,1.4999697772973937,4.352292454295872e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,1.75,1.7497302233295582,2.574363855982016e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,2.0,2.000194219913926,2.5830744565824676e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,2.25,2.2499546659460905,9.301419590528494e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,2.5,2.4997151119782552,9.754664000110369e-16,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,2.75,2.7501791085626235,1.0049504360829068e-15,,,0,0.02839454172900137,no_identifiable_set
0.002,16,0.001,3.0,2.999939554594788,5.146385576473606e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,0.25,0.24976044603216452,1.8298513758670356e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,0.5,0.5002244426165322,2.6392117592206603e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,0.75,0.7499848886486967,2.633134846278418e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,1.0,0.9997453346808615,2.928424317572486e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,1.25,1.2502093312652292,2.663006872731544e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,1.5,1.4999697772973937,2.279855031563371e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,1.75,1.7497302233295582,2.2037433726014943e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,2.0,2.000194219913926,3.0741313971560936e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,2.25,2.2499546659460905,2.327591110237363e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,2.5,2.4997151119782552,3.1669631213574596e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,2.75,2.7501791085626235,3.7453588451090064e-16,,,0,0.02839454172900137,no_identifiable_set
0.01,16,0.001,3.0,2.999939554594788,5.997881814210679e-16,,,0,0.02839454172900137,no_identifiable_set
